origin,destination,key
SIN,KUL,West
SIN,PEN,West
SIN,DMK,North
SIN,BKK,North
SIN,MAA,West
SIN,BOM,West
SIN,CCU,West
SIN,CMB,West
SIN,BLR,West
SIN,RGN,North
SIN,HAN,North
SIN,SGN,North
SIN,REP,North
SIN,CNX,North
SIN,KCH,East
SIN,BKI,East
SIN,BWN,East
SIN,PKU,South
SIN,PLM,South
SIN,CGK,South
SIN,SUB,East
SIN,DPS,East
SIN,MNL,East
SIN,CEB,East
SIN,DRW,East
SIN,TSA,North
SIN,XMN,North
SIN,HKG,North
SIN,MFM,North
SIN,HAK,North
SIN,CAN,North
SIN,PVG,North
SIN,WUH,North
SIN,PEK,North
SIN,ICN,North
SIN,NRT,North
SIN,KIX,North
SIN,CTU,North
SIN,AKL,East
SIN,MEL,East
SIN,PER,East
SIN,AUH,West
SIN,DOH,West
SIN,LHR,West
SIN,CDG,West
SIN,SXF,West
